Hyundai Kona/$17000  1441537сом/"https://im.mashina.kg/tachka/images//1/c/6/1c655e4a0257c012cd08fa3837905ed1_240x180.jpg"/2019г.,1.6л.,роботвнедорожник5дв.,бензинрульслева,34000кмБишкек4ч.назад
Lexus GS/$8300  703809сом/"https://im.mashina.kg/tachka/images//e/6/8/e68450e9cc2f368a0b8147b02b9cbe1f_240x180.jpg"/2006г.,3л.,автоматседан,бензинрульслева,273588кмБишкек2ч.назад
Toyota Camry/$22700  1924876сом/"https://im.mashina.kg/tachka/images//e/0/b/e0b17170a1f7da12e59ae3cf93e966e6_240x180.jpg"/2017г.,2.5л.,автоматседан,бензинрульслева,43000кмБишкек13мин.назад
Lexus GS/$5900  500298сом/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"/2002г.,3л.,автоматседан,бензинрульсправа,185000кмБишкек1ч.назад
Kia K5 II/$16500  1399139сом/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"/2016г.,1.7л.,роботседан,дизельрульслева,77000кмБишкек3д.назад
Toyota Kluger/$9800  831004сом/"https://im.mashina.kg/tachka/images//c/1/1/c11d331b7416986afb2cf6bad561b0a8_240x180.jpg"/2003г.,3л.,автоматвнедорожник5дв.,бензинрульсправаБишкек1ч.назад
Ford Maverick/$6800  576615сом/"https://im.mashina.kg/tachka/images//7/9/d/79dc3b0fbf2e2bd45d6f2ba2721c4ef5_240x180.jpg"/2002г.,3л.,автоматвнедорожник5дв.,бензинрульслева,240000кмБишкек3д.назад
Mercedes-Benz E-класс/$9800  831004сом/"https://im.mashina.kg/tachka/images//5/2/4/524ca3bf3b3664070395b51e7b0e3ac8_240x180.jpg"/2000г.,4.3л.,автоматседан,бензинрульслеваТокмок2ч.назад
Hyundai Sonata/$13600  1153230сом/"https://im.mashina.kg/tachka/images//a/f/f/aff3b05d625a1207e23e8f0c4213d6fe_240x180.jpg"/2015г.,2.4л.,автоматседан,бензинрульслева,54000кмБишкек2ч.назад
Toyota Camry/$13450  1140510сом/"https://im.mashina.kg/tachka/images//9/2/0/920b0a8d22d8ec72dd28d1867c71cf44_240x180.jpg"/2016г.,2.5л.,автоматседан,бензинрульслева,137000кмБалыкчи2ч.назад
